TARGET_NAME,FRAME_TYPE,DATE_OBS,BJD,SESSION_ID,FILE_NAME,RELATIVE_PATH,OBS_DATE,EXPOSURE,FILTER,TIME_DIFF_HOURS
CoRoT-2,Science,2026-08-09 06:57:16.086000+00:00,2461261.789769514,CoRoT-2_Session_1,CoRoT-2260809065716.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809065716.fits,2026-08-08,60.0,Clear,0.04990305555555556
CoRoT-2,Science,2026-08-09 07:00:15.500000+00:00,2461261.791846065,CoRoT-2_Session_1,CoRoT-2260809070015.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809070015.fits,2026-08-09,60.0,Clear,0.04983722222222222
CoRoT-2,Science,2026-08-09 07:03:15.907000+00:00,2461261.7939341087,CoRoT-2_Session_1,CoRoT-2260809070315.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809070315.fits,2026-08-09,60.0,Clear,0.050113055555555557
CoRoT-2,Science,2026-08-09 07:06:16.481000+00:00,2461261.7960240855,CoRoT-2_Session_1,CoRoT-2260809070616.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809070616.fits,2026-08-09,60.0,Clear,0.05015944444444445
CoRoT-2,Science,2026-08-09 07:09:16.062000+00:00,2461261.7981025693,CoRoT-2_Session_1,CoRoT-2260809070916.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809070916.fits,2026-08-09,60.0,Clear,0.04988361111111111
CoRoT-2,Science,2026-08-09 07:12:15.723000+00:00,2461261.8001819793,CoRoT-2_Session_1,CoRoT-2260809071215.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809071215.fits,2026-08-09,60.0,Clear,0.04990583333333334
CoRoT-2,Science,2026-08-09 07:15:16.340000+00:00,2461261.802272454,CoRoT-2_Session_1,CoRoT-2260809071516.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809071516.fits,2026-08-09,60.0,Clear,0.05017138888888888
CoRoT-2,Science,2026-08-09 07:18:17.017000+00:00,2461261.804363623,CoRoT-2_Session_1,CoRoT-2260809071816.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809071816.fits,2026-08-09,60.0,Clear,0.050188055555555555
CoRoT-2,Science,2026-08-09 07:21:15.544000+00:00,2461261.806429907,CoRoT-2_Session_1,CoRoT-2260809072115.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809072115.fits,2026-08-09,60.0,Clear,0.04959083333333333
CoRoT-2,Science,2026-08-09 07:24:17.105000+00:00,2461261.808531308,CoRoT-2_Session_1,CoRoT-2260809072417.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809072417.fits,2026-08-09,60.0,Clear,0.05043361111111111
CoRoT-2,Science,2026-08-09 07:27:15.858000+00:00,2461261.810600208,CoRoT-2_Session_1,CoRoT-2260809072715.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809072715.fits,2026-08-09,60.0,Clear,0.04965361111111111
CoRoT-2,Science,2026-08-09 07:30:16.412000+00:00,2461261.8126899535,CoRoT-2_Session_1,CoRoT-2260809073016.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809073016.fits,2026-08-09,60.0,Clear,0.05015388888888889
CoRoT-2,Science,2026-08-09 07:33:16.870000+00:00,2461261.814778588,CoRoT-2_Session_1,CoRoT-2260809073316.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809073316.fits,2026-08-09,60.0,Clear,0.05012722222222222
CoRoT-2,Science,2026-08-09 07:36:16.378000+00:00,2461261.816856227,CoRoT-2_Session_1,CoRoT-2260809073616.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809073616.fits,2026-08-09,60.0,Clear,0.049863333333333336
CoRoT-2,Science,2026-08-09 07:39:16.063000+00:00,2461261.8189359144,CoRoT-2_Session_1,CoRoT-2260809073916.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809073916.fits,2026-08-09,60.0,Clear,0.0499125
CoRoT-2,Science,2026-08-09 07:42:15.677000+00:00,2461261.82101478,CoRoT-2_Session_1,CoRoT-2260809074215.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809074215.fits,2026-08-09,60.0,Clear,0.04989277777777778
CoRoT-2,Science,2026-08-09 07:45:15.398000+00:00,2461261.8230948844,CoRoT-2_Session_1,CoRoT-2260809074515.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809074515.fits,2026-08-09,60.0,Clear,0.0499225
CoRoT-2,Science,2026-08-09 07:48:17.139000+00:00,2461261.825198368,CoRoT-2_Session_1,CoRoT-2260809074817.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809074817.fits,2026-08-09,60.0,Clear,0.05048361111111112
CoRoT-2,Science,2026-08-09 07:51:15.728000+00:00,2461261.82726537,CoRoT-2_Session_1,CoRoT-2260809075115.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809075115.fits,2026-08-09,60.0,Clear,0.04960805555555556
CoRoT-2,Science,2026-08-09 07:54:15.413000+00:00,2461261.8293450577,CoRoT-2_Session_1,CoRoT-2260809075415.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809075415.fits,2026-08-09,60.0,Clear,0.0499125
CoRoT-2,Science,2026-08-09 07:57:16.997000+00:00,2461261.8314467245,CoRoT-2_Session_1,CoRoT-2260809075716.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809075716.fits,2026-08-09,60.0,Clear,0.05044
CoRoT-2,Science,2026-08-09 08:00:15.527000+00:00,2461261.833513044,CoRoT-2_Session_1,CoRoT-2260809080015.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809080015.fits,2026-08-09,60.0,Clear,0.049591666666666666
CoRoT-2,Science,2026-08-09 08:03:16.131000+00:00,2461261.835603368,CoRoT-2_Session_1,CoRoT-2260809080316.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809080316.fits,2026-08-09,60.0,Clear,0.05016777777777778
